id,role,feature,benefit,
2638,parent,the ability to lock all doors on command,I can put the house into lock down to protect my kids,
3022,occupant,home safety system,I can remotely lock and unlock doors and windows.,
2133,home owner,an alarm to remind me remind me to eat at regular times,I can be healthier,
2078,home occupant,heated porch and sidewalk when forecast predicts 100% chance of snow,"snow can be melted instead of shoveling, saving us time and energy. Also, snow can be cleared if homeowner on vacation",
2577,home occupant,water leak detection,I or authorities are notified if a pipe bursts or leaks,
2,home owner,lights to turn on in my room when I enter,I need not have to manually turn it on,
2892,parent,my smart home to let me know at night if my child leaves his bedroom,I can monitor my child's nighttime movements,
2887,home occupant,automated lock system,the doors and windows lock as I go to bed.,
1204,parent,"Integrated refrigerator, freezer, deep freezer, kitchen cupboards, and pantry storage, which sense and recognize contents, usage, and automatically generate a shopping list at programmed intervals or on demand. Programmable up to a month in advance with menu ideas, recipes, etc, and includes needed ingredients in the shopping list.",meal planning and grocery shopping can be more streamlined,
2990,parent,my smart home to be video monitored 24*7 and have access to my smartphone,I am sure no disaster takes place.,
671,home owner,my air conditioning unit to purify the air in my home and report the air quality,I can ensure my family is breathing healthy air,
662,parent,a TV that locks itself after it's kids bed time,they can't turn it on even if they try.,
1833,home owner,automatic lights which turn off when I leave a room or only turn on when ambient light is low,I can save everygy,
2444,home owner,a bathroom mirror that begins an anti-fog procedure during and after showers,I can shave more easily,
2018,home occupant,solar roof,i have efficient power,
1552,home maker,the temperature of the house to be maintained and as well inform on the temperature outside,my family people health is kept at control,
3537,home occupant,smart water softener,It will alert me when solar salt is low,
488,parent,to monitor when the baby is waking up from sleep,i can turn my concentration towards by baby,
666,home occupant,sensors that tell me if someone or something leaves my house,I know if my kids are going outside if I am in another room,
179,home occupant,I want my smart-home to take picture of persons coming near to outside doors between 8 pm to 6 am.And a mobile alert same time.,So that i can recognize unknown persons ,
3641,home owner,"my home to video tape everytime I throw a party, it should record every room, every time the doors where open and shut off things when there is a over use of resources","save energy, and water ",
2158,home occupant,"my curtains and lights to adjust to morning, afternoon and evening",each room is inviting and energy efficient,
2469,home occupant,"smart ovens and toasters that can maintain the temperature of food, even when cold so that you can put breakfast in the oven/toaster overnight and have it cook on a timer or via app",i can be lazy and cook from bed,
2453,home owner,a fish tank that will automatically feed fish,my fish will be fed without having to think about it,
2624,parent,the lights to dim when it gets late,my children will get sleepy and know when it's time for bed,
1534,parent,the deviation in temperature of my kids at home,understand well about their health,
2433,home occupant,my television system to recommend movie and teach shows off of the selective user at the time and begin playing such film or show,"I would be able to dive into watching movies, rather than shift through selections myself",
908,home occupant,To be Alerted with a sound when the garage is opened.,I can know who is going in and out of the garage.,
3552,home owner,my home to monitor anyone cooking in the kitchen so if by some chance the person cooking collapses the home will know to turn off the stove and call 911.  ,the house won't burned down and emergency services are notified ,
380,music fan,speakers that know if I am in a room and can turn on music when I am in there,I can have relaxing music follow me throughout the house.,
2975,home occupant,automatic door opener with an alert,I don't need to open the door every time someone is on the door. ,
3114,tv watcher,a tv that senses when I am asleep and shuts off,I dont have to wake myself up to turn off the tv,
182,parent,to help my children succed,they do well in life,
3485,cat owner,tracking collars,I know where they are at all times,
2303,home occupant,fridge to let me know when food is going bad,I can eat it to keep from wasting food.,
721,home owner,an app that lets me manage my stove/gas,I can turn it off and on even if I am outside.,
1075,person that likes comfort,to have the air turned on when I walk in the house,"I don't waste AC when I'm not there, but I have cold air when I'm in the house.",
3687,caregiver for a medical marijuana patient,"the garden to notify me with water, sun, soil needs of the medical marijuana plants",I can keep the medication available,
3087,energy conserver,a home that measures changes in how tight my home is,I can stop leaks before they get too big.,
58,pet owner,automated food bowl,it automatically replenishes itself at lunch time of pet,
758,person who invites people over.,my smart home to have voice recognition features that allow me to voice active TVs and music.,I can entertain my guests more easily.,
1715,home occupant,automatic toaster,it can cook my toast before I wake up,
3365,homemaker,I want to know the internal temperature of meat i am cooking without opening the oven.,i can save energy and cook more efficiently ,
2623,renter,to be able to notify my landlord when there is a maintenance problem automatically though a smart home app.,i don't have to take the time and contact the landlord when I have a maintenance problem,
2130,home owner,smoke detectors that send a message to my phone if they go off when im not home,I know immediatly if anything happens,
13,worker,my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work,I can be relaxed,
1681,home occupant,my Smart Home to have many accents to talk to me in,"I may benefit from the presence of a Britt, Kiwi, or something just seductive",
2063,home owner,"my washer and dryer to automatically clean, dry , and fold the laundry",all I do is put it away,
51,on/off controller,"I want my smart home to automatically switch off/on electric gadgets like bulbs, fans, ACs when a person move out or move in the particular affected region of particular gadget.",both energy and money can be saved ,
2292,home owner,the ability to remotely tell what doors or windows are opened or closed in a house,"I can be alerted if the doors are opened when they should not be (e.g., a child is trying to sneak out). ",
2261,home occupant,my home to track my medication usage,it can remind me when to take medication,
2630,father,to be able to have a robot with cameras on it roam my house at my control.,I can see what's going on with my children when i'm not home.,
589,a1,my washer to run when no one else in my community is using the washer,we avoid peak loads,
1059,wife,"smart"" dinner system""","I can easily track and find my familys favorite meals, and get a list of things i need for them vs what I already have in my smart fridge",
1914,home occupant,my computer to turn on automatically at 7am,I waste no time waiting on it.,
220,home occupant,giving voice commands to equipments,i am relaxed,
2483,cook,"my refrigerator to recognize, inventory, and display everything inside",I won't waste energy and time staring into it,
719,home owner,music that automatically plays when in the shower,I always have good tunes to listen to while getting clean,
2783,home occupant,my washer and dryer to use only enough water and energy to wash and dry my clothes based on the zie of the load,I can save water and energy.,
1943,home owner,a smart home to alert me when the mail or packages are delivered,I can move them inside the house,
2026,parent,intercom,i can hear my children in the other room,
824,home owner,a way to switch what i'm watching on one screen to move to another room,i can pick up where i left off on a movie/etc on another device,
2343,person who enjoys an occasional bath,a water heating system that can be set to the exact degree,we eliminate guesswork when filling a bathtub with water of an appropriate temperature.,
